scenario,train_rows,train_fraud,train_nonfraud,scale_pos_weight,best_iteration,fit_seconds,val_threshold,val_accuracy,val_precision,val_recall,val_f1_score,val_roc_auc,val_pr_auc,val_tp,val_tn,val_fp,val_fn,val_predicted_fraud,val_fraud_alert_rate,test_threshold,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc,test_pr_auc,test_tp,test_tn,test_fp,test_fn,test_predicted_fraud,test_fraud_alert_rate,sampling_seconds
S0_Baseline,957649,48029,909620,1.0,139,11.091625690460205,0.5,0.9551066780278349,0.8135593220338984,0.14304635761589404,0.24331174317093776,0.8170766574673352,0.382958161932653,1728,226936,396,10352,2124,0.008871735752593856,0.5,0.9558920826288319,0.8299810246679317,0.14639534105361804,0.2488904062820075,0.8155049200654774,0.3771602208649249,2187,283879,448,12752,2635,0.00880487592977485,
S1_Weighted,957649,48029,909620,23.67372,164,14.822081089019775,0.5,0.703694885803552,0.12135403934485288,0.7807947019867549,0.21005979755687448,0.8170328690363646,0.3828816688818214,9432,159041,68291,2648,77723,0.3246412042838287,0.5,0.7044602460687148,0.12012403100775194,0.7779637191244394,0.20811360116036495,0.8154417979592488,0.3770083772230028,11622,199199,85128,3317,96750,0.3232909852773118,
S2_SMOTENC_0.10,1000582,90962,909620,1.0,303,18.89559054374695,0.5,0.9551693315289125,0.7944905990380411,0.15041390728476822,0.2529407670355676,0.8175352180237487,0.38328518487006447,1817,226862,470,10263,2287,0.009552570464304211,0.5,0.9558152279243215,0.8031802120141343,0.15215208514626147,0.25583882041758116,0.815815100774727,0.3783964523683549,2273,283770,557,12666,2830,0.009456470163667106,99.07175421714783
S2_SMOTENC_0.20,1091544,181924,909620,1.0,746,42.85570931434631,0.5,0.9551609777287688,0.7807933194154488,0.15480132450331127,0.25837651122625216,0.816578937289314,0.3820166223129123,1870,226807,525,10210,2395,0.010003675672063221,0.5,0.9557717883087287,0.7854508883674154,0.15683780708213402,0.26146635420154,0.8147506459161423,0.37713857916894467,2343,283687,640,12596,2983,0.009967721024105645,97.96156191825867
S2_SMOTENC_0.30,1182506,272886,909620,1.0,998,57.27121543884277,0.5,0.955181862229128,0.7824267782426778,0.15480132450331127,0.25846579129232894,0.8169977162671207,0.38242225325091145,1870,226812,520,10210,2390,0.009982791171704008,0.5,0.955795178870971,0.7882670262980445,0.15650311265814312,0.26115610164758446,0.8151420544160453,0.3781104123629197,2338,283699,628,12601,2966,0.009910915372945807,99.15542435646057
S2_SMOTENC_0.50,1364430,454810,909620,1.0,832,54.43146872520447,0.5,0.9550565552269727,0.7606635071090048,0.15943708609271523,0.26361894333424585,0.8161105585153459,0.3823188782358029,1926,226726,606,10154,2532,0.010575910981905669,0.5,0.9557149826575688,0.7666034155597723,0.16225985675078652,0.2678305066018452,0.8142413849607355,0.3775386632618037,2424,283589,738,12515,3162,0.01056585111572982,102.91285705566406
S3_RUS_0.10,528319,48029,480290,1.0,179,10.491393804550171,0.5,0.9530140510918417,0.592683470890029,0.21995033112582782,0.32083559741592704,0.817657966408321,0.3836984249328214,2657,225506,1826,9423,4483,0.01872504302207074,0.5,0.953379267942232,0.5862611431567908,0.22451301961309325,0.32468538238141337,0.8160191041990892,0.37874735214911814,3354,281960,2367,11585,5721,0.019116772369731277,0.18650150299072266
S3_RUS_0.20,288174,48029,240145,1.0,152,8.170186519622803,0.5,0.9433695888259569,0.43053205489753715,0.3791390728476821,0.40320450743903513,0.8175949905311053,0.3838853565052337,4580,221274,6058,7500,10638,0.044433862964262445,0.5,0.9423055074749553,0.4143540669856459,0.37679898252895105,0.39468517739447484,0.8161471559194089,0.3790863708029448,5629,276371,7956,9310,13585,0.04539439829449386,0.11243700981140137
S3_RUS_0.30,208125,48029,160096,1.0,194,8.415315866470337,0.5,0.9367157870115116,0.38284885938811325,0.4153973509933775,0.3984595227696828,0.8178328816182487,0.38348428951143304,5018,219243,8089,7062,13107,0.054746629241642024,0.5,0.9355055368802336,0.36878835278546507,0.41033536381283886,0.3884541047495326,0.8161582848942277,0.3788856929304711,6130,273835,10492,8809,16622,0.05554256079875428,0.10750341415405273
S3_RUS_0.50,144087,48029,96058,1.0,155,7.2079949378967285,0.5,0.893292733864635,0.2475915582711699,0.546771523178808,0.3408416544108161,0.8172057665274803,0.3827253785005136,6605,207260,20072,5475,26677,0.1114271632165472,0.5,0.8900810650057139,0.2378379956783274,0.5452172166811701,0.3311985361390668,0.8155333301338659,0.37691758418084575,8145,258226,26101,6794,34246,0.11443331350704725,0.10029864311218262
